Time (UTC),Symbol,Side,Amount Received,Exec. Price,Amount Spent,Amount,Order Price,Fee rate,Fee paid,Type,ID
2023-12-28 02:40:39,TIA / USDT,Buy,5.10300000 TIA,12.69400000,64.77748200 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00510300 TIA,Limit,9137baf0-13c9-5f48-b05d-9679dc76da46
2023-12-28 02:40:39,TIA / USDT,Buy,6.84600000 TIA,12.69610000,86.91750060 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00684600 TIA,Limit,d07018a5-53fc-5297-b98f-c9dff5c1c5dd
2023-12-28 02:40:39,TIA / USDT,Buy,6.08200000 TIA,12.69640000,77.21950480 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00608200 TIA,Limit,d0513f7a-9110-5ea5-a134-ca1c549b43f0
2023-12-28 02:40:39,TIA / USDT,Buy,6.48500000 TIA,12.69750000,82.34328750 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00648500 TIA,Limit,c336ee82-eac3-5a73-9063-1161ad62d926
2023-12-28 02:40:39,TIA / USDT,Buy,5.14700000 TIA,12.68750000,65.30256250 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00514700 TIA,Limit,e6342013-19a3-5db8-bd82-19a73055b52f
2023-12-28 02:40:39,TIA / USDT,Buy,4.25800000 TIA,12.69460000,54.05360680 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00425800 TIA,Limit,bc1702b3-c1ea-570c-803c-dd5dccba9c93
2023-12-28 02:40:39,TIA / USDT,Buy,7.52700000 TIA,12.67450000,95.40096150 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00752700 TIA,Limit,18fc04e8-9de2-57a9-8dbe-9e9e3756b2a8
2023-12-28 02:40:39,TIA / USDT,Buy,2.12400000 TIA,12.66420000,26.89876080 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00212400 TIA,Limit,eb86ed59-0f59-58d7-99de-8f760609bea4
2023-12-28 02:40:39,TIA / USDT,Buy,3.90300000 TIA,12.69790000,49.55990370 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00390300 TIA,Limit,a5051281-81eb-50cc-8d4d-2cca5c56a8d4
2023-12-28 02:40:39,TIA / USDT,Buy,4.60600000 TIA,12.66250000,58.32347500 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00460600 TIA,Limit,653fc54d-c528-57ed-8e1d-e07b839b3675
2023-12-28 02:40:39,TIA / USDT,Buy,3.61900000 TIA,12.69170000,45.93126230 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00361900 TIA,Limit,98166664-9e28-5974-82af-b72ac4a9a65f
2023-12-28 02:40:39,TIA / USDT,Buy,3.92800000 TIA,12.65860000,49.72298080 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00392800 TIA,Limit,46abd556-1084-51ff-a77e-307679ac35ad
2023-12-28 02:40:39,TIA / USDT,Buy,2.58300000 TIA,12.66420000,32.71162860 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00258300 TIA,Limit,f4a639fb-f88f-5324-b348-8645e029f2e2
2023-12-28 02:40:39,TIA / USDT,Buy,2.63600000 TIA,12.66660000,33.38915760 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00263600 TIA,Limit,8f187d6c-d8ca-52e8-9efc-d1d4d9621aae
2023-12-28 02:40:39,TIA / USDT,Buy,8.04200000 TIA,12.68740000,102.03207080 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00804200 TIA,Limit,8d010d0a-06eb-518b-9c43-6065aa48c8e1
2023-12-28 02:40:39,TIA / USDT,Buy,2.63100000 TIA,12.66430000,33.31977330 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00263100 TIA,Limit,18574ee1-8412-5ee1-a5e5-09609972613b
2023-12-28 02:40:39,TIA / USDT,Buy,2.99200000 TIA,12.66790000,37.90235680 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00299200 TIA,Limit,8141610f-7f85-51af-880c-b1b4f46c4a9c
2023-12-28 02:40:39,TIA / USDT,Buy,5.26000000 TIA,12.69260000,66.76307600 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00526000 TIA,Limit,6219dff8-c7ae-50c2-964e-8223945850da
2023-12-28 02:40:39,TIA / USDT,Buy,4.34200000 TIA,12.66280000,54.98187760 USDT,4071.32630000 USDT,12.70000000,0.10%,0.00434200 TIA,Limit,fca0f5d4-e2c7-5a0a-a9f5-d68003b6b8d1
