"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2022-09-16 22:20:12","696634169","BTCGBP","Limit","BUY","17300.0000000000","0.5779900000BTC","2022-09-16 22:20:12","0.5779900000BTC","17296.48948667","9997.1979584000GBP","FILLED"
"2022-09-16 22:14:08","696619939","BTCGBP","Market","BUY","0E-10","0.1991400000BTC","2022-09-16 22:14:08","0.1991400000BTC","17309.52000000","3447.0178128000GBP","FILLED"
"2022-09-16 22:13:07","696617924","BTCGBP","Limit","BUY","17291.6200000000","0.5787800000BTC","2022-09-16 22:13:58","0.3794200000BTC","17291.62000000","6560.7864604000GBP","PARTIALLY_FILLED"
"2022-09-11 16:20:07","13358303684","BTCUSDT","Limit","BUY","21715.7700000000","0.8413700000BTC","2022-09-11 16:20:07","0.8413700000BTC","21694.39526665","18253.0133455000USDT","FILLED"
