"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2023-12-28 18:15:18","2017716976","SHIBUSDT","Limit","BUY","0.0000106100","420652152.0000000000SHIB","2023-12-28 18:15:18","420652152.0000000000SHIB","0.00001060","4458.9128112000USDT","FILLED"
"2023-12-28 18:14:04","23961239988","BTCUSDT","Limit","SELL","42498.0600000000","0.1040500000BTC","2023-12-28 18:14:04","0.1040500000BTC","42521.09000000","4424.3194145000USDT","FILLED"
"2023-12-27 23:59:06","241781468","INJBTC","Market","BUY","0E-10","134.8000000000INJ","2023-12-27 23:59:06","134.8000000000INJ","0.00090476","0.1219614600BTC","FILLED"
"2023-12-27 23:58:45","241781426","INJBTC","Limit","BUY","0.0009005000","120.4000000000INJ","2023-12-27 23:58:56","0.0000000000INJ","0E-8","0.0000000000BTC","CANCELED"
"2023-12-27 15:44:26","321148780","EGLDBTC","Market","BUY","0E-10","61.2800000000EGLD","2023-12-27 15:44:26","61.2800000000EGLD","0.00165626","0.1014953400BTC","FILLED"
"2023-12-27 15:30:02","366594573","RAYUSDT","Market","BUY","0E-10","2857.7000000000RAY","2023-12-27 15:30:02","2857.7000000000RAY","1.49139830","4261.9689300000USDT","FILLED"
"2023-12-27 15:29:13","366593743","RAYUSDT","Limit","BUY","1.4920000000","2885.5000000000RAY","2023-12-27 15:29:28","0.0000000000RAY","0E-8","0.0000000000USDT","CANCELED"
"2023-12-27 15:28:32","23941691673","BTCUSDT","Limit","SELL","42900.0000000000","0.1000000000BTC","2023-12-27 15:28:32","0.1000000000BTC","42914.78000000","4291.4780000000USDT","FILLED"
"2023-12-27 15:28:06","23941685833","BTCUSDT","Limit","SELL","42994.0000000000","0.1000000000BTC","2023-12-27 15:28:32","0.0000000000BTC","0E-8","0.0000000000USDT","CANCELED"
"2023-12-27 13:07:58","538436380","MANABTC","Limit","BUY","0.0000128600","7820.0000000000MANA","2023-12-27 13:08:00","7820.0000000000MANA","0.00001286","0.1005652000BTC","FILLED"
