"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2021-12-03 20:53:39","AVAXUSDT","SELL","106.0000000000","39.0600000000AVAX","4140.36000000USDT","4.1403600000USDT"
"2021-12-03 20:53:39","AVAXUSDT","SELL","106.0000000000","19.2600000000AVAX","2041.56000000USDT","2.0415600000USDT"
"2021-12-03 20:53:39","AVAXUSDT","SELL","106.0000000000","23.0000000000AVAX","2438.00000000USDT","2.4380000000USDT"
"2021-12-03 20:53:39","AVAXUSDT","SELL","106.0000000000","7.3200000000AVAX","775.92000000USDT","0.7759200000USDT"
"2021-12-03 20:53:39","AVAXUSDT","SELL","106.0000000000","40.1700000000AVAX","4258.02000000USDT","4.2580200000USDT"
"2021-12-03 20:14:33","AVAXUSDT","BUY","101.7100000000","2.4200000000AVAX","246.13820000USDT","0.0024200000AVAX"
"2021-12-03 20:14:33","AVAXUSDT","BUY","101.7000000000","39.2900000000AVAX","3995.79300000USDT","0.0392900000AVAX"
"2021-12-03 20:14:33","AVAXUSDT","BUY","101.7100000000","17.4700000000AVAX","1776.87370000USDT","0.0174700000AVAX"
"2021-12-03 20:14:33","AVAXUSDT","BUY","101.6600000000","4.3200000000AVAX","439.17120000USDT","0.0043200000AVAX"
"2021-12-03 20:14:33","AVAXUSDT","BUY","101.6800000000","1.9000000000AVAX","193.19200000USDT","0.0019000000AVAX"
"2021-12-03 20:14:33","AVAXUSDT","BUY","101.7000000000","0.6100000000AVAX","62.03700000USDT","0.0006100000AVAX"
"2021-12-03 20:14:33","AVAXUSDT","BUY","101.7100000000","20.6100000000AVAX","2096.24310000USDT","0.0206100000AVAX"
"2021-12-03 20:14:33","AVAXUSDT","BUY","101.6700000000","0.6500000000AVAX","66.08550000USDT","0.0006500000AVAX"
"2021-12-03 20:14:33","AVAXUSDT","BUY","101.7000000000","1.9300000000AVAX","196.28100000USDT","0.0019300000AVAX"
"2021-12-03 20:14:33","AVAXUSDT","BUY","101.6700000000","0.3700000000AVAX","37.61790000USDT","0.0003700000AVAX"
"2021-12-03 20:14:33","AVAXUSDT","BUY","101.7000000000","39.3700000000AVAX","4003.92900000USDT","0.0393700000AVAX"
"2021-11-22 05:11:02","ALGOUSDT","SELL","1.7333000000","15.0000000000ALGO","25.99950000USDT","0.0259995000USDT"
"2021-11-22 05:11:02","ALGOUSDT","SELL","1.7331000000","12.0000000000ALGO","20.79720000USDT","0.0207972000USDT"
"2021-11-22 05:11:02","ALGOUSDT","SELL","1.7333000000","15.0000000000ALGO","25.99950000USDT","0.0259995000USDT"
"2021-11-22 05:11:02","ALGOUSDT","SELL","1.7330000000","10.0000000000ALGO","17.33000000USDT","0.0173300000USDT"
"2021-11-22 05:11:02","ALGOUSDT","SELL","1.7333000000","625.0000000000ALGO","1083.31250000USDT","1.0833125000USDT"
"2021-11-22 05:11:02","ALGOUSDT","SELL","1.7333000000","36.0000000000ALGO","62.39880000USDT","0.0623988000USDT"
"2021-11-22 05:11:02","ALGOUSDT","SELL","1.7330000000","15.0000000000ALGO","25.99500000USDT","0.0259950000USDT"
"2021-11-22 05:11:02","ALGOUSDT","SELL","1.7329000000","1403.0000000000ALGO","2431.25870000USDT","2.4312587000USDT"
"2021-11-22 05:11:02","ALGOUSDT","SELL","1.7333000000","14.0000000000ALGO","24.26620000USDT","0.0242662000USDT"
