"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2022-09-16 22:20:12","BTCGBP","BUY","17300.0000000000","0.0325700000BTC","563.46100000GBP","0.0000000000BNB"
"2022-09-16 22:20:12","BTCGBP","BUY","17296.6800000000","0.0093300000BTC","161.37802440GBP","0.0000000000BNB"
"2022-09-16 22:20:12","BTCGBP","BUY","17295.7900000000","0.4746000000BTC","8208.58193400GBP","0.0000000000BNB"
"2022-09-16 22:20:12","BTCGBP","BUY","17300.0000000000","0.0614900000BTC","1063.77700000GBP","0.0000000000BNB"
"2022-09-16 22:14:08","BTCGBP","BUY","17309.5200000000","0.1889200000BTC","3270.11451840GBP","0.0000000000BNB"
"2022-09-16 22:14:08","BTCGBP","BUY","17309.5200000000","0.0051200000BTC","88.62474240GBP","0.0000000000BNB"
"2022-09-16 22:14:08","BTCGBP","BUY","17309.5200000000","0.0051000000BTC","88.27855200GBP","0.0000000000BNB"
"2022-09-16 22:13:17","BTCGBP","BUY","17291.6200000000","0.0253100000BTC","437.65090220GBP","0.0000000000BNB"
"2022-09-16 22:13:17","BTCGBP","BUY","17291.6200000000","0.0174400000BTC","301.56585280GBP","0.0000000000BNB"
"2022-09-16 22:13:15","BTCGBP","BUY","17291.6200000000","0.0458300000BTC","792.47494460GBP","0.0000000000BNB"
"2022-09-16 22:13:15","BTCGBP","BUY","17291.6200000000","0.1000000000BTC","1729.16200000GBP","0.0000000000BNB"
"2022-09-16 22:13:15","BTCGBP","BUY","17291.6200000000","0.0184800000BTC","319.54913760GBP","0.0000000000BNB"
"2022-09-16 22:13:15","BTCGBP","BUY","17291.6200000000","0.0135500000BTC","234.30145100GBP","0.0000000000BNB"
"2022-09-16 22:13:15","BTCGBP","BUY","17291.6200000000","0.0182700000BTC","315.91789740GBP","0.0000000000BNB"
"2022-09-16 22:13:15","BTCGBP","BUY","17291.6200000000","0.0223900000BTC","387.15937180GBP","0.0000000000BNB"
"2022-09-16 22:13:15","BTCGBP","BUY","17291.6200000000","0.1181500000BTC","2043.00490300GBP","0.0000000000BNB"
"2022-09-11 16:20:07","BTCUSDT","BUY","21694.2900000000","0.0250000000BTC","542.35725000USDT","0.0000000000BNB"
"2022-09-11 16:20:07","BTCUSDT","BUY","21694.4100000000","0.1959900000BTC","4251.88741590USDT","0.0000000000BNB"
"2022-09-11 16:20:07","BTCUSDT","BUY","21694.2900000000","0.1200000000BTC","2603.31480000USDT","0.0000000000BNB"
"2022-09-11 16:20:07","BTCUSDT","BUY","21694.4200000000","0.5003800000BTC","10855.45387960USDT","0.0000000000BNB"
