"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2023-12-28 18:15:18","SHIBUSDT","BUY","0.0000106000","420652152.0000000000SHIB","4458.91281120USDT","420652.1500000000SHIB"
"2023-12-28 18:14:04","BTCUSDT","SELL","42521.0900000000","0.1040500000BTC","4424.31941450USDT","4.4243194100USDT"
"2023-12-27 23:59:06","INJBTC","BUY","0.0009045000","25.8000000000INJ","0.02333610BTC","0.0258000000INJ"
"2023-12-27 23:59:06","INJBTC","BUY","0.0009044000","11.0000000000INJ","0.00994840BTC","0.0110000000INJ"
"2023-12-27 23:59:06","INJBTC","BUY","0.0009044000","5.0000000000INJ","0.00452200BTC","0.0050000000INJ"
"2023-12-27 23:59:06","INJBTC","BUY","0.0009050000","7.6000000000INJ","0.00687800BTC","0.0076000000INJ"
"2023-12-27 23:59:06","INJBTC","BUY","0.0009053000","25.7000000000INJ","0.02326621BTC","0.0257000000INJ"
"2023-12-27 23:59:06","INJBTC","BUY","0.0009046000","18.8000000000INJ","0.01700648BTC","0.0188000000INJ"
"2023-12-27 23:59:06","INJBTC","BUY","0.0009047000","8.1000000000INJ","0.00732807BTC","0.0081000000INJ"
"2023-12-27 23:59:06","INJBTC","BUY","0.0009047000","7.4000000000INJ","0.00669478BTC","0.0074000000INJ"
"2023-12-27 23:59:06","INJBTC","BUY","0.0009047000","5.0000000000INJ","0.00452350BTC","0.0050000000INJ"
"2023-12-27 23:59:06","INJBTC","BUY","0.0009048000","20.4000000000INJ","0.01845792BTC","0.0204000000INJ"
"2023-12-27 15:44:26","EGLDBTC","BUY","0.0016570000","5.0200000000EGLD","0.00831814BTC","0.0050200000EGLD"
"2023-12-27 15:44:26","EGLDBTC","BUY","0.0016560000","5.0200000000EGLD","0.00831312BTC","0.0050200000EGLD"
"2023-12-27 15:44:26","EGLDBTC","BUY","0.0016550000","2.5200000000EGLD","0.00417060BTC","0.0025200000EGLD"
"2023-12-27 15:44:26","EGLDBTC","BUY","0.0016560000","7.8000000000EGLD","0.01291680BTC","0.0078000000EGLD"
"2023-12-27 15:44:26","EGLDBTC","BUY","0.0016560000","0.6600000000EGLD","0.00109296BTC","0.0006600000EGLD"
"2023-12-27 15:44:26","EGLDBTC","BUY","0.0016550000","1.2000000000EGLD","0.00198600BTC","0.0012000000EGLD"
"2023-12-27 15:44:26","EGLDBTC","BUY","0.0016570000","23.5600000000EGLD","0.03903892BTC","0.0235600000EGLD"
"2023-12-27 15:44:26","EGLDBTC","BUY","0.0016560000","6.3000000000EGLD","0.01043280BTC","0.0063000000EGLD"
"2023-12-27 15:44:26","EGLDBTC","BUY","0.0016550000","5.0200000000EGLD","0.00830810BTC","0.0050200000EGLD"
"2023-12-27 15:44:26","EGLDBTC","BUY","0.0016550000","0.1900000000EGLD","0.00031445BTC","0.0001900000EGLD"
"2023-12-27 15:44:26","EGLDBTC","BUY","0.0016550000","3.9900000000EGLD","0.00660345BTC","0.0039900000EGLD"
"2023-12-27 15:30:02","RAYUSDT","BUY","1.4907000000","5.1000000000RAY","7.60257000USDT","0.0051000000RAY"
"2023-12-27 15:30:02","RAYUSDT","BUY","1.4908000000","6.0000000000RAY","8.94480000USDT","0.0060000000RAY"
"2023-12-27 15:30:02","RAYUSDT","BUY","1.4913000000","5.2000000000RAY","7.75476000USDT","0.0052000000RAY"
"2023-12-27 15:30:02","RAYUSDT","BUY","1.4915000000","6.0000000000RAY","8.94900000USDT","0.0060000000RAY"
"2023-12-27 15:30:02","RAYUSDT","BUY","1.4918000000","5.3000000000RAY","7.90654000USDT","0.0053000000RAY"
"2023-12-27 15:30:02","RAYUSDT","BUY","1.4911000000","80.0000000000RAY","119.28800000USDT","0.0800000000RAY"
"2023-12-27 15:30:02","RAYUSDT","BUY","1.4910000000","1.5000000000RAY","2.23650000USDT","0.0015000000RAY"
