"User_ID","UTC_Time","Account","Operation","Coin","Change","Remark"
"55477749","2022-01-21 11:16:43","Spot","Withdraw","USDT","-13657.32151600","Withdraw fee is included"
"55477749","2022-05-28 13:31:02","Spot","Token Swap - Redenomination/Rebranding","LUNA","-0.01611000",""
"55477749","2022-05-28 13:31:02","Spot","Token Swap - Redenomination/Rebranding","LUNC","0.01611000",""
"55477749","2022-05-29 08:38:26","Spot","Airdrop Assets","LUNA","0.00500087",""
"55477749","2022-05-30 04:05:08","Spot","Distribution","LUNA","7E-8","LUNA compensation"
"55477749","2022-06-18 20:39:41","Spot","Withdraw","ALGO","-45835.96326100","Withdraw fee is included"
"55477749","2022-09-11 16:18:42","Spot","Deposit","USDT","18271.02000000",""
"55477749","2022-09-11 16:20:07","Spot","Transaction Spend","USDT","-10855.45387960",""
"55477749","2022-09-11 16:20:07","Spot","Transaction Spend","USDT","-542.35725000",""
"55477749","2022-09-11 16:20:07","Spot","Transaction Spend","USDT","-2603.31480000",""
"55477749","2022-09-11 16:20:07","Spot","Transaction Spend","USDT","-4251.88741590",""
"55477749","2022-09-11 16:20:07","Spot","Transaction Buy","BTC","0.50038000",""
"55477749","2022-09-11 16:20:07","Spot","Transaction Buy","BTC","0.12000000",""
"55477749","2022-09-11 16:20:07","Spot","Transaction Buy","BTC","0.19599000",""
"55477749","2022-09-11 16:20:07","Spot","Transaction Buy","BTC","0.02500000",""
"55477749","2022-09-11 17:16:43","Spot","Fiat Deposit","GBP","9.00000000",""
"55477749","2022-09-12 18:07:35","Spot","Fiat Deposit","GBP","9999.00000000",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Spend","GBP","-234.30145100",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Spend","GBP","-792.47494460",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Spend","GBP","-387.15937180",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Buy","BTC","0.10000000",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Buy","BTC","0.01355000",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Buy","BTC","0.11815000",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Spend","GBP","-1729.16200000",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Buy","BTC","0.01827000",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Buy","BTC","0.04583000",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Buy","BTC","0.01848000",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Spend","GBP","-319.54913760",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Buy","BTC","0.02239000",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Spend","GBP","-315.91789740",""
"55477749","2022-09-16 22:13:15","Spot","Transaction Spend","GBP","-2043.00490300",""
"55477749","2022-09-16 22:13:17","Spot","Transaction Buy","BTC","0.02531000",""
"55477749","2022-09-16 22:13:17","Spot","Transaction Spend","GBP","-437.65090220",""
"55477749","2022-09-16 22:13:17","Spot","Transaction Buy","BTC","0.01744000",""
"55477749","2022-09-16 22:13:17","Spot","Transaction Spend","GBP","-301.56585280",""
"55477749","2022-09-16 22:14:08","Spot","Transaction Buy","BTC","0.18892000",""
"55477749","2022-09-16 22:14:08","Spot","Transaction Spend","GBP","-88.27855200",""
"55477749","2022-09-16 22:14:08","Spot","Transaction Spend","GBP","-3270.11451840",""
"55477749","2022-09-16 22:14:08","Spot","Transaction Buy","BTC","0.00512000",""
"55477749","2022-09-16 22:14:08","Spot","Transaction Spend","GBP","-88.62474240",""
"55477749","2022-09-16 22:14:08","Spot","Transaction Buy","BTC","0.00510000",""
"55477749","2022-09-16 22:18:36","Spot","Fiat Deposit","GBP","9999.00000000",""
"55477749","2022-09-16 22:20:12","Spot","Transaction Buy","BTC","0.00933000",""
"55477749","2022-09-16 22:20:12","Spot","Transaction Buy","BTC","0.06149000",""
"55477749","2022-09-16 22:20:12","Spot","Transaction Buy","BTC","0.47460000",""
"55477749","2022-09-16 22:20:12","Spot","Transaction Spend","GBP","-8208.58193400",""
"55477749","2022-09-16 22:20:12","Spot","Transaction Spend","GBP","-161.37802440",""
"55477749","2022-09-16 22:20:12","Spot","Transaction Buy","BTC","0.03257000",""
"55477749","2022-09-16 22:20:12","Spot","Transaction Spend","GBP","-1063.77700000",""
"55477749","2022-09-16 22:20:12","Spot","Transaction Spend","GBP","-563.46100000",""
"55477749","2022-09-29 05:17:47","Spot","Stablecoins Auto-Conversion","BUSD","0.46354751",""
"55477749","2022-09-29 05:17:47","Spot","Stablecoins Auto-Conversion","USDC","-0.46354751",""
"55477749","2022-10-02 21:24:42","Spot","Withdraw","BTC","-1.99792274","Withdraw fee is included"
"55477749","2022-11-14 21:34:41","Spot","Withdraw","ADA","-10.00000000","Withdraw fee is included"
"55477749","2022-11-14 21:50:41","Spot","Withdraw","ADA","-44596.80924000","Withdraw fee is included"
"55477749","2022-12-21 16:48:47","Spot","Airdrop Assets","LUNA","0.00048619",""
